Andover,2099,2144,2540,3036
Ansonia,21160,19039,18403,18554
Ashford,2156,3221,3765,4098
Avon,8352,11201,13937,15832
Barkhamsted,2066,2935,3369,3494
Beacon Falls,3546,3995,5083,5246
Berlin,14149,15121,16787,18215
Bethany,3857,4330,4608,5040
Bethel,10945,16004,17541,18067
Bethlehem,1923,2573,3071,3422
Bloomfield,18301,18608,19483,19587
Bolton,3691,3951,4575,5017
Bozrah,2036,2135,2297,2357
Branford,20444,23363,27603,28683
Bridgeport,156542,142546,141686,139529
Bridgewater,1277,1563,1654,1824
Bristol,55487,57370,60640,60062
Brookfield,9688,12872,14113,15664
Brooklyn,4965,5691,6681,7173
Burlington,4070,5660,7026,8190
Canaan,931,1002,1057,1081
Canterbury,2673,3426,4467,4692
Canton,6868,7635,8268,8840
Chaplin,1621,1793,2048,2250
Cheshire,19051,21788,25684,28543
Chester,2982,3068,3417,3743
Clinton,10267,11195,12767,13094
Colchester,6603,7761,10980,14551
Colebrook,1020,1221,1365,1471
Columbia,3129,3386,4510,4971
Cornwall,1177,1288,1414,1434
Coventry,8140,8895,10063,11504
Cromwell,7400,10265,12286,12871
Danbury,50781,60470,65585,74848
Darien,20336,18892,18196,19607
Deep River,3690,3994,4332,4610
Derby,12599,12346,12199,12391
Durham,4489,5143,5732,6627
Eastford,922,1028,1314,1618
East Granby,3532,4102,4302,4745
East Haddam,4676,5621,6676,8333
East Hampton,7078,8572,10428,13352
East Hartford,57583,52563,50452,49575
East Haven,25120,25028,26144,28189
East Lyme,11399,13870,15340,18118
Easton,4885,5962,6303,7272
East Windsor,8513,8925,10081,9818
Ellington,7703,9711,11197,12921
Enfield,46189,42695,45532,45212
Essex,4911,5078,5904,6505
Fairfield,56487,54489,53418,57340
Farmington,14390,16407,20608,23641
Franklin,1356,1592,1810,1835
Glastonbury,20651,24327,27901,31876
Goshen,1351,1706,2329,2697
Granby,6150,7956,9369,10347
Greenwich,59755,59578,58441,61101
Griswold,7763,8967,10384,10807
